name,description,price,thumb,images,slug,sku,sizes,prices
Stroke Kilim Rug,,648,https://bucket.zammit.shop/active-storage/rus7goiw9pvpcy83j7ctk8sltnq3,https://bucket.zammit.shop/active-storage/oqg43utjn5jznvwnpvh0cvgsctff|https://bucket.zammit.shop/active-storage/o0bygf0frh28p2a08511rr37ud66,Stroke-Kilim-Rug,,90 * 60 Cm|0.7 * 1.5 Cm|1 * 1.5 M|1.5 * 2 M|1.7 * 2.6 M|2 * 2.5 M|2 * 3 M|3 * 4 M,648|1181|1575|3150|4641|5250|6300|12600
Sun Steps 1,,648,https://bucket.zammit.shop/active-storage/b6cw8fkn2p4q036ciqqhopwylqdy,https://bucket.zammit.shop/active-storage/uba1f5idq5v7mhi623p3r6tyz2k9,Sun-Steps-1-,,90 * 60 Cm|0.7 * 1.5 Cm|1 * 1.5 M|1.5 * 2 M|1.7 * 2.6 M|2 * 3 M|3 * 4 M,648|1181|1575|3150|4641|6300|12600
Sun Steps 5,,1687,https://bucket.zammit.shop/active-storage/v7i70vtn2bodz9iy666aekxo2eyy,https://bucket.zammit.shop/active-storage/1sjdltrfz832vv16ic4tnq7mlma5,Sun-Steps-5,,1 * 1.5 M|1.5 * 2 M|1.7 * 2.6 M|2 * 2.5 M|2 * 3 M|3 * 4 M,1687|3375|4972|5625|6750|13500
Temple Bricks Bath Mat,,699,https://bucket.zammit.shop/active-storage/il31etpchafxhdlwjui6pb0d6km0,https://bucket.zammit.shop/active-storage/yjil3bn0x5b6nq66up5javphkkeo,Temple-Bricks-Bath-Mat,,90 * 60 Cm|140 * 50 Cm|100 * 80 Cm|130 * 100 Cm,699|892|1020|1657
Theban Indigo Bath Mat,,699,https://bucket.zammit.shop/active-storage/r5wmx8v7kukd9ov6dt7eklu7xvuz,https://bucket.zammit.shop/active-storage/oqq3739tfflzoy4p99a1clbex5u3|https://bucket.zammit.shop/active-storage/u5q773eksx8rfmrflhbppo5erfyz,Theban-Indigo-Bath-Mat,,60 * 90 Cm|50 * 140 Cm|80 * 100 Cm|100 * 130 Cm,699|892|1020|1657
Timeless Terracotta Kilim Rug,,0,https://bucket.zammit.shop/active-storage/6n5i497u2qm2rsmzb3aslf8j4tel,https://bucket.zammit.shop/active-storage/b2a16zne1j0eph29zwbyu738eqvf,Timeless-Terracotta-Kilim-Rug,,0.7 * 1.5 Cm|1 * 1.5 M|1.5 * 2 M|1.7 * 2.6 M|2 * 3 M|3 * 4 M,0|0|0|0|0|0
Velvra Bath Mat,,699,https://bucket.zammit.shop/active-storage/1cu96pfh6q3hs8cdjzadrktoy7d0,https://bucket.zammit.shop/active-storage/ctry3ydutivhhk93drw11mrxblu2|https://bucket.zammit.shop/active-storage/6vp3wzr4qfts0sh4o04kwuayc7cs,Velvra-Bath-Mat,,60 * 90 Cm|50 * 140 Cm|80 * 100 Cm|100 * 130 Cm,699|892|1020|1657
Western Desert Bath Mat,,699,https://bucket.zammit.shop/active-storage/z2j0z55bu9xdzr7skjm1hi478xlc,,Western-Desert-Bath-Mat,,90 * 60 Cm|140 * 50 Cm|100 * 80 Cm|130 * 100 Cm,699|892|1020|1657
Ya Amar Cushion,,0,https://bucket.zammit.shop/active-storage/yb6cchdjflkq0ujgg99g0ovuks67,,Ya-Amar-Cushion,,40 * 40 Cm Cover Only|40 * 40 Cm With Insert|40 * 70 Cm Cover Only|40 * 70 Cm With Insert|70 * 70 Cm Cover Only|70 * 70 Cm With Insert,0|0|0|0|0|0
Zahmet El Qahira Kilim Rug,,0,https://bucket.zammit.shop/active-storage/rkxj4o09l7q22xz74nogyiouzm5e,https://bucket.zammit.shop/active-storage/eyrvvv8cgslus0rz8597l8218b8z,Zahmet-El-Qahira-Kilim-Rug,,1 * 1.5 M|1.5 * 2 M|2 * 2.5 M|2 * 3 M|3 * 4 M,0|0|0|0|0
